number,id,composer,title,source,units,notes,quarters,H,R,coverage,X,X_min,X_max,M,Y,Y_min,Y_max,M_span_0.5,M_span_1,M_span_2,M_span_4,null_X_mean,null_X_sd,null_X_tail_fraction,null_Y_mean,null_Y_sd,null_Y_tail_fraction
11,chopin,Chopin,Nocturne Op.9/2,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/ChopinFF/O9/chopin_nocturne_op9_n2/chopin_nocturne_op9_n2.ly,1,270,48.5,0.2711458333333332,0.1208092842073245,0.9896907216494846,73.53647689473321,60.58578738763424,86.80234101060074,0.3908043644012144,67.65124930206127,55.12541169314077,78.88595178728369,0.5955593838926743,0.4263440349544073,0.3041470139103229,0.2371670248474534,59.62208748573554,2.4426661766341096,0.01,57.85897345971477,1.7443588302993471,0.01
12,liszt,Liszt,Consolation No.3,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/LisztF/S.172/liszt-consolation-no3/liszt-consolation-no3.ly,1,119,32.0,0.1274473684210526,0.1318801492471489,0.9895833333333331,84.61899535509613,84.30453853945886,86.16626049349516,0.2623215905667636,76.92635960086702,75.72180703137018,78.23515478658229,0.2707484166630608,0.254982860569743,0.2781039952807724,0.2454510897534782,80.77076257873507,3.0833904884679946,0.08,62.98748561578997,3.28346707855514,0.01
13,brahms,Brahms,Intermezzo Op.118/2,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/BrahmsJ/O118/intermezzo/intermezzo.ly,1,125,25.0,0.1967714285714284,0.1399554166853624,1.0,78.76054176355989,65.13947953537847,86.77752434366295,0.3643184225784185,69.46699609217514,68.02855876375529,72.52725801395442,0.3212077221811845,0.3779711419317397,0.3852425871597335,0.3728522390410165,64.18077269330982,3.080763703919702,0.01,61.3912586014847,2.637092431812908,0.01
14,grieg,Grieg,Wedding Day at Troldhaugen,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/GriegE/O65/troldhaugen/troldhaugen.ly,1,183,32.0,0.111937172774869,0.1927353875356525,0.9947916666666666,84.38691862145535,80.09515060127669,87.19208171558098,0.4299616569922685,65.05340376767558,59.45200514028711,71.9710646388406,0.3289060277635546,0.4947109333515862,0.5200008352403164,0.376228831613617,74.9466952200188,2.2138231104638657,0.01,59.6123672461338,2.6090741723869604,0.01
15,debussy_clair,Debussy,Clair de lune,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/DebussyC/L75/debussy_Ste_Bergamesq_Clair/debussy_Ste_Bergamesq_Clair.ly,1,104,36.0,0.2794743460764586,0.2072182097136445,0.9861111111111112,71.06041118310465,63.05429563742545,85.13488331225966,0.0953698006636131,90.90367099254544,83.9603129139258,95.68905898522692,0.0440662202380952,0.0643697235838779,0.0982172947303921,0.1748259641020871,67.94690133499452,3.44645864408033,0.19,78.52800720448148,1.8729952632923663,0.01
16,debussy_arab,Debussy,Arabesque No.1,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/DebussyC/L66/debussy_Arabesque_1/debussy_Arabesque_1.ly,1,139,32.0,0.1105394736842105,0.1792917234571732,0.9895833333333331,84.84645364842687,83.20920809763403,85.60423504900841,0.5200460022645222,59.44931993077377,54.217467003948414,66.4812405060336,0.4082503757769407,0.6100733430441228,0.6121670600145919,0.4496932302224338,78.95492563917914,1.688966513697132,0.01,59.00271376958263,2.0678744765158923,0.43
17,satie_gym,Satie,Gymnopedie No.1,https://github.com/MutopiaProject/MutopiaProject/blob/2144afd6f52d56c5b6995b8b589ef1268b3139f0/ftp/SatieE/gymnopedie_1/gymnopedie_1.ly,1,41,24.0,0.1454761904761904,0.1337500735206679,0.875,83.06047637148795,78.67983438840535,88.69094628984377,0.4352683340699547,64.70910072160505,51.8868973980575,78.6033885098449,0.5099746928977675,0.6561038863008971,0.3342393804112554,0.2407553766698987,73.88061385488865,5.101122087128801,0.05,56.80161649233917,3.9722561688652287,0.06
18,bartok,Bartók,Romanian Folk Dances No.6,User-supplied PDF; opening manually transcribed in prior analysis,1,84,16.0,0.4655468749999999,0.1571748865515091,1.0,59.88768222676463,53.55726822165025,68.23805692923216,0.4003418565262958,67.00909319175047,56.81457400419996,85.82916440090041,0.5653773085921944,0.4929518022486771,0.3902269894457394,0.1528113258185721,62.31169224686691,3.7570069602920553,0.73,47.60352089812445,4.661884307897804,0.01
19,ravel_jeux,Ravel,Jeux d’eau,https://github.com/DCMLab/ravel_piano,1,267,28.0,0.5600759991496597,0.1114743992558693,1.0,55.238041142609006,43.41956065260813,83.07280042327287,0.3828451622976008,68.19184778023386,63.00579276887161,78.23459210023216,0.4153320724682124,0.4086467795871618,0.2454582820236941,0.4619435151113346,42.87165949427976,1.7175465772965484,0.01,65.6291403551796,1.825455268397636,0.08
20,schoenberg_19_6,Schoenberg,Op.19 No.6,Open Scores LilyPond; project attribution in source manifest,1,80,33.0,0.75676552492342,0.1391450198565344,0.8636363636363638,44.99993994022269,42.486909614455776,46.63853687095419,0.2869144524951738,75.05759359891545,66.91118376690505,87.24698540262361,0.1364271767617915,0.2576543029129235,0.4018040614218275,0.3517722688841525,46.183911908978025,3.596708268503784,0.56,65.2379584329597,3.294707561540125,0.01
21,scriabin_59_2,Scriabin,Prelude Op.59 No.2,Mutopia LilyPond; project attribution in source manifest,1,143,25.5,0.610238095238095,0.2177579673775555,1.0,50.88685814513261,48.45095872071122,52.58235922102773,0.5482203041002907,57.79775198262455,50.12010360167635,77.7587107374738,0.5932508295315482,0.6907479888898074,0.6573227919842504,0.2515596059955569,50.54952325107512,2.380992640805027,0.47,48.96445071782622,2.904512048717155,0.01
22,casella_31,Casella,Deux Contrastes Op.31,Open Scores LilyPond; both pieces equally weighted,2,212,43.125,0.6900833271264709,0.2975256815143368,0.9624137931034482,45.884979748627,39.65584427649131,61.88266701627812,0.5854114266480754,56.03517469397289,39.087367186901446,74.20998184504288,0.301836536458139,0.4635442129594555,0.6056330912683302,0.9706318659063772,46.81849157997584,2.226039131143917,0.66,57.50768356921067,2.5605854972672666,0.75
23,szymanowski_1,Szymanowski,Nine Preludes Op.1,Open Scores LilyPond; all nine equally weighted,9,1211,250.0,0.4124619827606481,0.1861075293819672,0.9890991118669692,63.11665516260834,51.77128705604278,81.72647885076195,0.3107592106753943,73.72447344332687,67.26557758501492,81.75951882521225,0.2782208784595995,0.3182393886884312,0.3073156457574563,0.3392609297960902,57.28563387675556,0.8577271094915568,0.01,62.02275339596809,0.7698296333395311,0.01
24,berg_1,Berg,Piano Sonata Op.1,"https://imslp.org/wiki/Piano_Sonata,_Op.1_(Berg,_Alban)",1,131,26.0,0.6574469589816123,0.14910062321271864,0.9711538461538461,49.55053411554201,36.77636694414125,73.36982459544298,0.3901936282100414,67.69257898787092,51.93611666835303,82.92964174691521,0.187177627479864,0.27745405469418055,0.4409870823946448,0.6551557482714763,44.04644075314808,2.6896031455591833,0.06,60.804801687975676,3.4654148941272647,0.01
25,webern_27,Webern,Variations Op.27 (3 movements),https://raw.githubusercontent.com/automata/ana-music/335cbdc617c919d29e9384c4e490cabca5736f73/corpus/classical/users/craig/classical/webern/op27/variations-1.krn,3,120,75.5,0.5315965608465608,0.12461309343448257,0.5807364612511672,59.53805035523083,49.84492144802797,67.6052683014919,0.9904295308170554,40.81883967734299,23.690538508733244,69.24834954238726,1.128178369882098,1.16492003074693,0.8215393536238156,0.8470803690153782,66.99044140565697,2.3620361041705484,1.0,44.265750902898176,2.560621244834642,0.9
