id,H,R,coverage,X,X_min,X_max,M,Y,Y_min,Y_max,M_span_0.5,M_span_1,M_span_2,M_span_4
bach,0.07370078740157475,0.14119730811447612,0.9921875,89.04218143414367,83.36967290078948,89.4995901608744,0.1331183984134773,87.5361444566784,80.12082151867394,94.35672122930387,0.221634421640022,0.16223750912651,0.05808767951625094,0.09051398337112622
rameau,0.1759701492537314,0.26016359443939807,0.9852941176470589,77.56768875093769,76.05769783005391,84.1414407858243,0.5587124578731971,57.19449932501186,43.562555552901244,77.40604372998733,0.38564449689682895,0.7621277882996633,0.8309722222222222,0.256105324074074
scarlatti,0.1369531250000001,0.08826362248489894,1.0,84.9224064467466,80.8361311940051,85.59460158550176,0.5888649280299971,55.495684332718,42.4276219786911,69.0094266458809,0.37092707266598396,0.5335232788231781,0.5936387865331318,0.8573705740976946
mozart_turkish,0.31582089552238807,0.143353093335517,0.9852941176470589,69.84953038340977,60.809003308092535,85.65270650726873,0.26460630058065415,76.75080579788504,73.48332092017391,81.35472706177153,0.30811173177709633,0.2853162719080688,0.20635124630660343,0.25864595233084814
mozart_545,0.20535156250000003,0.1702509575902768,1.0,77.38115969800221,67.21977612487883,86.24261489953486,0.4228827633725172,65.51554368235045,56.98216940637724,78.88665061180475,0.34491970449071707,0.5624317845230984,0.5470213982583775,0.237158166217876
beethoven_moon,0.10149739583333353,0.18394103664022246,1.0,85.49778585397775,80.38873937659457,85.49778585397775,0.14375098157733704,86.61033969095838,79.77336215040029,92.36474435094819,0.1294138108789579,0.07942483479436509,0.14018473573843115,0.22598054489759403
beethoven_elise,0.14862244897959184,0.21933252529088187,0.98,80.70075891809677,67.01570780362933,88.65086340986984,0.6045165761359714,54.63384758677895,47.583934369458895,68.67340864365906,0.7426749949677939,0.6821473665223665,0.6174358164983166,0.37580812655540907
schubert,0.09544642857142878,0.16743807070734387,1.0,86.44361366219879,81.77840093312074,88.84041773174737,0.13791056708238603,87.1176600127066,83.33722985734978,88.77183495806344,0.11910076019592739,0.11952460748733718,0.1307421010473876,0.18227479959889192
mendelssohn,0.11583333333333336,0.26731567299728315,0.9795918367346939,82.19891896970917,75.77133125672253,84.01022386011007,0.3693650162233231,69.1173075014342,64.04505229074769,76.69284999680043,0.44558340823647224,0.4330905293880837,0.265361702340869,0.3334244249278676
schumann,0.19750000000000004,0.1630629375411068,0.9696969696969697,78.15947609459056,70.73881186102695,89.79055246597444,0.2960767949906118,74.37303110648037,65.71434477680901,83.33044957007041,0.18235616255188197,0.2590940938275605,0.3230039767998655,0.41985294678313934
